,app_stamp,ID_tracking,x_tracking,y_tracking,z_tracking,xd,yd,type_tracking,status,tick,range_tracking,speed_tracking,sinAzim_tracking,sinElv_tracking
11557,47259168,39.0,3.9453125,60.6640625,0.0,0.0,-47.0078125,1.0,1.0,0.0,60.796875,-47.0078125,-0.00042699999999999997,0.0
11558,47753035,39.0,-10.3125,138.6171875,4.8046875,0.0,0.0,0.0,1.0,0.0,139.0859375,0.0,0.000549,0.000244
11559,47859164,39.0,-10.0234375,138.640625,4.8046875,0.0,0.0,0.0,1.0,1.0,139.0859375,0.0,0.000549,0.000244
11560,47957133,39.0,-9.9375,138.7421875,4.78125,0.0,0.0,0.0,1.0,2.0,139.2890625,0.0,0.000549,0.000244
11561,48055051,39.0,-10.2890625,138.7421875,4.7734375,0.015625,0.0,0.0,1.0,3.0,139.2890625,0.0,0.000549,0.000244
11562,48154660,39.0,-9.71875,138.765625,4.7734375,-0.0390625,0.0,0.0,1.0,4.0,139.0859375,0.0,0.000488,0.000244
11563,48256289,39.0,-9.609375,138.75,4.78125,-0.0625,0.0,0.0,2.0,5.0,139.0859375,0.0,0.000488,0.000244
11564,48357938,39.0,-9.359375,138.7578125,4.78125,-0.140625,0.0078125,0.0,2.0,6.0,139.0859375,0.0,0.000488,0.000244
11565,48457117,39.0,-9.484375,138.734375,4.7890625,-0.078125,0.0,0.0,2.0,7.0,139.0859375,0.0,0.000488,0.000244
11566,48556704,39.0,-8.984375,138.765625,4.7890625,-0.328125,0.015625,0.0,2.0,8.0,139.0859375,0.0,0.000488,0.000244
11567,48657513,39.0,-8.8203125,138.7734375,4.7890625,-0.40625,0.0234375,0.0,2.0,9.0,139.0859375,0.0,0.000488,0.000244
11568,48756712,39.0,-8.6875,138.7734375,4.7890625,-0.46875,0.0234375,0.0,2.0,10.0,139.0859375,0.0,0.00042699999999999997,0.000244
11569,48855101,39.0,-8.640625,138.78125,4.7890625,-0.46875,0.0234375,0.0,3.0,10.0,0.0,0.0,0.00042699999999999997,0.000244
11570,48955680,39.0,-8.6875,138.7734375,4.7890625,-0.390625,0.0234375,0.0,4.0,11.0,139.0859375,0.0,0.00042699999999999997,0.000244
11571,49059161,39.0,-8.6484375,138.7734375,4.7890625,-0.390625,0.0234375,0.0,3.0,11.0,0.0,0.0,0.00042699999999999997,0.000244
11572,49152610,39.0,-8.609375,138.7734375,4.7890625,-0.390625,0.0234375,0.0,3.0,11.0,0.0,0.0,0.00042699999999999997,0.000244
11573,49255679,39.0,-8.5703125,138.78125,4.7890625,-0.390625,0.0234375,0.0,3.0,10.0,0.0,0.0,0.00042699999999999997,0.000244
11574,49356298,39.0,-8.71875,138.765625,4.7890625,-0.25,0.015625,0.0,4.0,11.0,139.0859375,0.0,0.000488,0.000244
11575,49458737,39.0,-8.9375,138.7421875,4.78125,-0.0546875,0.0,0.0,4.0,12.0,139.0859375,0.0,0.000488,0.000244
11576,49653271,39.0,-8.921875,138.75,4.78125,-0.0546875,0.0,0.0,3.0,10.0,0.0,0.0,0.000488,0.000244
11577,49756740,39.0,-8.9140625,138.75,4.78125,-0.0546875,0.0,0.0,3.0,9.0,0.0,0.0,0.000488,0.000244
11578,49854719,39.0,-8.3125,138.78125,4.78125,-0.5625,0.03125,0.0,4.0,10.0,139.0859375,0.0,0.00042699999999999997,0.000244
11579,50356087,39.0,11.703125,33.0546875,0.546875,0.0,21.3203125,1.0,1.0,0.0,35.078125,21.3203125,-0.0025009999999999998,0.000122
11580,50858325,39.0,10.25,35.75,0.0,0.0,1.984375,1.0,1.0,0.0,37.1953125,1.984375,-0.002074,0.0
11581,50959124,39.0,11.8828125,37.5546875,0.0,0.046875,0.0859375,0.0,1.0,1.0,40.203125,0.0,-0.002257,0.0
11582,51162390,39.0,10.6953125,37.1328125,0.0,0.078125,0.0234375,0.0,1.0,3.0,37.84375,0.0,-0.002074,0.0
11583,51262379,39.0,10.6796875,37.1328125,0.0,0.078125,0.0234375,0.0,1.0,4.0,37.84375,0.0,-0.002074,0.0
11584,51362178,39.0,10.65625,37.1328125,0.0,0.0859375,0.0234375,0.0,2.0,5.0,37.84375,0.0,-0.002074,0.0
11585,51456267,39.0,10.6328125,37.1328125,0.0,0.0859375,0.0234375,0.0,2.0,6.0,37.84375,0.0,-0.002074,0.0
11586,51556293,39.0,10.609375,37.1328125,0.0,0.09375,0.0234375,0.0,2.0,7.0,37.84375,0.0,-0.002074,0.0
11587,51657722,39.0,10.5859375,37.1328125,0.0,0.09375,0.0234375,0.0,2.0,8.0,37.84375,0.0,-0.002074,0.0
11588,51760351,39.0,10.5625,37.1328125,0.0,0.1015625,0.0234375,0.0,2.0,9.0,37.84375,0.0,-0.002074,0.0
11589,51957329,39.0,10.53125,37.140625,0.0,0.109375,0.03125,0.0,3.0,10.0,0.0,0.0,-0.002013,0.0
11590,52057910,39.0,10.4609375,37.125,0.0,0.1328125,0.03125,0.0,4.0,11.0,37.84375,0.0,-0.002013,0.0
11591,52161189,39.0,10.453125,37.1328125,0.0,0.1328125,0.03125,0.0,3.0,11.0,0.0,0.0,-0.002013,0.0
11592,53553729,39.0,4.984375,30.265625,0.109375,0.0,0.0,0.0,1.0,0.0,30.6796875,0.0,-0.0011589999999999999,0.0
11593,53656938,39.0,5.2734375,31.015625,0.109375,0.0,0.0,0.0,1.0,1.0,31.65625,0.0,-0.00122,0.0
11594,53759167,39.0,5.4375,31.0625,0.1484375,0.0,0.0,0.0,1.0,2.0,31.65625,0.0,-0.001281,0.0
11595,53863056,39.0,5.5078125,31.0859375,0.1640625,0.0,0.0,0.0,1.0,3.0,31.65625,0.0,-0.001281,0.0
